api  | 2025-10-20T19:47:37.188988934Z {"level":30,"time":1760989657188,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:47:47.241638839Z {"level":30,"time":1760989667241,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:47:57.291940986Z {"level":30,"time":1760989677291,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:48:07.352461456Z {"level":30,"time":1760989687352,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:48:17.400472513Z {"level":30,"time":1760989697400,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:48:27.456568595Z {"level":30,"time":1760989707456,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:48:37.511693319Z {"level":30,"time":1760989717511,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:48:47.572420706Z {"level":30,"time":1760989727572,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:48:57.634807389Z {"level":30,"time":1760989737634,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:49:07.674982432Z {"level":30,"time":1760989747674,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:49:17.714233603Z {"level":30,"time":1760989757713,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:49:27.761153253Z {"level":30,"time":1760989767761,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:49:37.821803722Z {"level":30,"time":1760989777821,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:49:47.881781320Z {"level":30,"time":1760989787881,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:49:57.927953642Z {"level":30,"time":1760989797927,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:50:07.984676723Z {"level":30,"time":1760989807984,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:50:18.048826941Z {"level":30,"time":1760989818048,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:50:28.111754455Z {"level":30,"time":1760989828111,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:50:38.183493501Z {"level":30,"time":1760989838183,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:50:48.223244727Z {"level":30,"time":1760989848222,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:50:58.261714468Z {"level":30,"time":1760989858261,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:51:08.322177222Z {"level":30,"time":1760989868322,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:51:18.362000659Z {"level":30,"time":1760989878361,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:51:28.416709905Z {"level":30,"time":1760989888416,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:51:38.477474728Z {"level":30,"time":1760989898477,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
